Pressure : 1008.13301 hPa,  Temp : 31.07778 deg,  Hum : 66.02709 pct  
Pressure : 1007.51138 hPa,  Temp : 36.46950 deg,  Hum : 54.65711 pct  
Pressure : 1007.49123 hPa,  Temp : 36.47461 deg,  Hum : 54.25436 pct  
Pressure : 1007.53153 hPa,  Temp : 36.46440 deg,  Hum : 54.09413 pct  
Pressure : 1007.57654 hPa,  Temp : 36.47461 deg,  Hum : 54.24251 pct  
Pressure : 1007.51138 hPa,  Temp : 36.46950 deg,  Hum : 54.27201 pct  
Pressure : 1007.56825 hPa,  Temp : 36.46950 deg,  Hum : 54.13573 pct  
Pressure : 1007.47466 hPa,  Temp : 36.46440 deg,  Hum : 53.93414 pct  
Pressure : 1007.48295 hPa,  Temp : 36.46950 deg,  Hum : 53.95204 pct  
Pressure : 1007.49123 hPa,  Temp : 36.47461 deg,  Hum : 54.25436 pct  
Pressure : 1007.49123 hPa,  Temp : 36.47461 deg,  Hum : 54.31953 pct  
Pressure : 1007.47109 hPa,  Temp : 36.47972 deg,  Hum : 54.32559 pct  
Pressure : 1007.47109 hPa,  Temp : 36.47972 deg,  Hum : 54.16561 pct  
Pressure : 1007.54810 hPa,  Temp : 36.47461 deg,  Hum : 54.31361 pct  
Pressure : 1007.52796 hPa,  Temp : 36.47972 deg,  Hum : 54.14783 pct  
Pressure : 1007.59311 hPa,  Temp : 36.48482 deg,  Hum : 54.13611 pct  
Pressure : 1007.51610 hPa,  Temp : 36.48993 deg,  Hum : 54.10068 pct  
Pressure : 1007.53981 hPa,  Temp : 36.46950 deg,  Hum : 54.16536 pct  
Pressure : 1007.49952 hPa,  Temp : 36.47972 deg,  Hum : 53.06924 pct  
Pressure : 1007.47937 hPa,  Temp : 36.48482 deg,  Hum : 54.12425 pct  
Pressure : 1007.48766 hPa,  Temp : 36.48993 deg,  Hum : 54.42064 pct  
Pressure : 1007.53624 hPa,  Temp : 36.48482 deg,  Hum : 54.33757 pct  
Pressure : 1007.47109 hPa,  Temp : 36.47972 deg,  Hum : 54.30189 pct  
Pressure : 1007.48766 hPa,  Temp : 36.48993 deg,  Hum : 54.21326 pct  
Pressure : 1007.48766 hPa,  Temp : 36.48993 deg,  Hum : 54.18956 pct  
Pressure : 1007.52438 hPa,  Temp : 36.49503 deg,  Hum : 54.20154 pct  
Pressure : 1007.58125 hPa,  Temp : 36.49503 deg,  Hum : 54.14821 pct  
Pressure : 1007.45923 hPa,  Temp : 36.48993 deg,  Hum : 54.24289 pct  
Pressure : 1007.46751 hPa,  Temp : 36.49503 deg,  Hum : 54.20154 pct  
Pressure : 1007.48766 hPa,  Temp : 36.48993 deg,  Hum : 54.39694 pct  
Pressure : 1007.49595 hPa,  Temp : 36.49503 deg,  Hum : 54.25487 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 54.14833 pct  
Pressure : 1007.43908 hPa,  Temp : 36.49503 deg,  Hum : 54.11858 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 54.00611 pct  
Pressure : 1007.54096 hPa,  Temp : 36.50525 deg,  Hum : 54.05957 pct  
Pressure : 1007.48409 hPa,  Temp : 36.50525 deg,  Hum : 53.92920 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 54.56310 pct  
Pressure : 1007.47580 hPa,  Temp : 36.50014 deg,  Hum : 53.99426 pct  
Pressure : 1007.45565 hPa,  Temp : 36.50525 deg,  Hum : 54.33808 pct  
Pressure : 1007.49237 hPa,  Temp : 36.51035 deg,  Hum : 53.95303 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 54.41498 pct  
Pressure : 1007.50066 hPa,  Temp : 36.51546 deg,  Hum : 54.06575 pct  
Pressure : 1007.48409 hPa,  Temp : 36.50525 deg,  Hum : 54.26105 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 53.96463 pct  
Pressure : 1007.49237 hPa,  Temp : 36.51035 deg,  Hum : 54.16636 pct  
Pressure : 1007.47223 hPa,  Temp : 36.51546 deg,  Hum : 54.25537 pct  
Pressure : 1007.52910 hPa,  Temp : 36.51546 deg,  Hum : 54.04204 pct  
Pressure : 1007.50895 hPa,  Temp : 36.52056 deg,  Hum : 54.20809 pct  
Pressure : 1007.41893 hPa,  Temp : 36.50014 deg,  Hum : 54.12463 pct  
Pressure : 1007.52910 hPa,  Temp : 36.51546 deg,  Hum : 54.04797 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 53.92908 pct  
Pressure : 1007.48051 hPa,  Temp : 36.52056 deg,  Hum : 53.88809 pct  
Pressure : 1007.48880 hPa,  Temp : 36.52567 deg,  Hum : 53.70448 pct  
Pressure : 1007.46036 hPa,  Temp : 36.52567 deg,  Hum : 54.17859 pct  
Pressure : 1007.42364 hPa,  Temp : 36.52056 deg,  Hum : 53.95328 pct  
Pressure : 1007.45208 hPa,  Temp : 36.52056 deg,  Hum : 54.08365 pct  
Pressure : 1007.47223 hPa,  Temp : 36.51546 deg,  Hum : 53.67461 pct  
Pressure : 1007.53739 hPa,  Temp : 36.52056 deg,  Hum : 54.53992 pct  
Pressure : 1007.51724 hPa,  Temp : 36.52567 deg,  Hum : 53.87043 pct  
Pressure : 1007.48051 hPa,  Temp : 36.52056 deg,  Hum : 53.85845 pct  
Pressure : 1007.51724 hPa,  Temp : 36.52567 deg,  Hum : 54.00673 pct  
Pressure : 1007.54567 hPa,  Temp : 36.52567 deg,  Hum : 54.24378 pct  
Pressure : 1007.54567 hPa,  Temp : 36.52567 deg,  Hum : 53.89413 pct  
Pressure : 1007.52552 hPa,  Temp : 36.53078 deg,  Hum : 53.99501 pct  
Pressure : 1007.50895 hPa,  Temp : 36.52056 deg,  Hum : 54.04217 pct  
Pressure : 1007.53381 hPa,  Temp : 36.53588 deg,  Hum : 54.03661 pct  
Pressure : 1007.47694 hPa,  Temp : 36.53588 deg,  Hum : 53.79955 pct  
Pressure : 1007.46036 hPa,  Temp : 36.52567 deg,  Hum : 53.95340 pct  
Pressure : 1007.48522 hPa,  Temp : 36.54099 deg,  Hum : 54.09008 pct  
Pressure : 1007.52552 hPa,  Temp : 36.53078 deg,  Hum : 54.08390 pct  
Pressure : 1007.47694 hPa,  Temp : 36.53588 deg,  Hum : 54.09588 pct  
Pressure : 1007.56225 hPa,  Temp : 36.53588 deg,  Hum : 53.52691 pct  
Pressure : 1007.55039 hPa,  Temp : 36.54609 deg,  Hum : 54.08427 pct  
Pressure : 1007.47694 hPa,  Temp : 36.53588 deg,  Hum : 53.63360 pct  
Pressure : 1007.51366 hPa,  Temp : 36.54099 deg,  Hum : 54.14341 pct  
Pressure : 1007.48522 hPa,  Temp : 36.54099 deg,  Hum : 54.03674 pct  
Pressure : 1007.48522 hPa,  Temp : 36.54099 deg,  Hum : 54.01303 pct  
Pressure : 1007.52195 hPa,  Temp : 36.54609 deg,  Hum : 54.31539 pct  
Pressure : 1007.51366 hPa,  Temp : 36.54099 deg,  Hum : 54.19675 pct  
Pressure : 1007.48522 hPa,  Temp : 36.54099 deg,  Hum : 53.88265 pct  
Pressure : 1007.51366 hPa,  Temp : 36.54099 deg,  Hum : 53.62779 pct  
Pressure : 1007.55039 hPa,  Temp : 36.54609 deg,  Hum : 54.28576 pct  
Pressure : 1007.50180 hPa,  Temp : 36.55120 deg,  Hum : 53.89475 pct  
Pressure : 1007.52195 hPa,  Temp : 36.54609 deg,  Hum : 53.98352 pct  
Pressure : 1007.51837 hPa,  Temp : 36.56141 deg,  Hum : 53.79424 pct  
Pressure : 1007.47336 hPa,  Temp : 36.55120 deg,  Hum : 53.90068 pct  
Pressure : 1007.46507 hPa,  Temp : 36.54609 deg,  Hum : 53.85314 pct  
Pressure : 1007.48165 hPa,  Temp : 36.55631 deg,  Hum : 54.14379 pct  
Pressure : 1007.53852 hPa,  Temp : 36.55631 deg,  Hum : 53.85338 pct  
Pressure : 1007.53852 hPa,  Temp : 36.55631 deg,  Hum : 53.84153 pct  
Pressure : 1007.51837 hPa,  Temp : 36.56141 deg,  Hum : 53.80609 pct  
Pressure : 1007.47336 hPa,  Temp : 36.55120 deg,  Hum : 54.05477 pct  
Pressure : 1007.48165 hPa,  Temp : 36.55631 deg,  Hum : 53.90672 pct  
Pressure : 1007.55510 hPa,  Temp : 36.56652 deg,  Hum : 53.72323 pct  
Pressure : 1007.46150 hPa,  Temp : 36.56141 deg,  Hum : 53.91870 pct  
Pressure : 1007.46150 hPa,  Temp : 36.56141 deg,  Hum : 53.94241 pct  
Pressure : 1007.52666 hPa,  Temp : 36.56652 deg,  Hum : 53.93068 pct  
Pressure : 1007.51009 hPa,  Temp : 36.55631 deg,  Hum : 54.27417 pct  
Pressure : 1007.55510 hPa,  Temp : 36.56652 deg,  Hum : 53.78843 pct  
Pressure : 1007.49822 hPa,  Temp : 36.56652 deg,  Hum : 53.86548 pct  
Pressure : 1007.50651 hPa,  Temp : 36.57162 deg,  Hum : 53.85968 pct  
Pressure : 1007.56339 hPa,  Temp : 36.57162 deg,  Hum : 53.99600 pct  
Pressure : 1007.56339 hPa,  Temp : 36.57162 deg,  Hum : 53.67593 pct  
Pressure : 1007.54323 hPa,  Temp : 36.57673 deg,  Hum : 53.56343 pct  
Pressure : 1007.52666 hPa,  Temp : 36.56652 deg,  Hum : 53.75287 pct  
Pressure : 1007.44963 hPa,  Temp : 36.57162 deg,  Hum : 53.87153 pct  
Pressure : 1007.51837 hPa,  Temp : 36.56141 deg,  Hum : 53.70533 pct  
Pressure : 1007.51837 hPa,  Temp : 36.56141 deg,  Hum : 53.71718 pct  
Pressure : 1007.54323 hPa,  Temp : 36.57673 deg,  Hum : 53.97834 pct  
Pressure : 1007.56339 hPa,  Temp : 36.57162 deg,  Hum : 53.61073 pct  
Pressure : 1007.49822 hPa,  Temp : 36.56652 deg,  Hum : 54.04921 pct  
Pressure : 1007.53495 hPa,  Temp : 36.57162 deg,  Hum : 54.03156 pct  
Pressure : 1007.47807 hPa,  Temp : 36.57162 deg,  Hum : 53.94265 pct  
Pressure : 1007.49464 hPa,  Temp : 36.58184 deg,  Hum : 53.87770 pct  
Pressure : 1007.55152 hPa,  Temp : 36.58184 deg,  Hum : 54.37555 pct  
Pressure : 1007.44963 hPa,  Temp : 36.57162 deg,  Hum : 54.37529 pct  
Pressure : 1007.49464 hPa,  Temp : 36.58184 deg,  Hum : 54.26295 pct  
Pressure : 1007.51479 hPa,  Temp : 36.57673 deg,  Hum : 53.94278 pct  
Pressure : 1007.53495 hPa,  Temp : 36.57162 deg,  Hum : 53.77670 pct  
Pressure : 1007.52308 hPa,  Temp : 36.58184 deg,  Hum : 53.96068 pct  
Pressure : 1007.46620 hPa,  Temp : 36.58184 deg,  Hum : 53.75916 pct  
Pressure : 1007.51479 hPa,  Temp : 36.57673 deg,  Hum : 53.61085 pct  
Pressure : 1007.55981 hPa,  Temp : 36.58694 deg,  Hum : 53.86004 pct  
Pressure : 1007.54323 hPa,  Temp : 36.57673 deg,  Hum : 53.79460 pct  
Pressure : 1007.44605 hPa,  Temp : 36.58694 deg,  Hum : 53.75335 pct  
Pressure : 1007.54794 hPa,  Temp : 36.59715 deg,  Hum : 53.83658 pct  
Pressure : 1007.59654 hPa,  Temp : 36.59205 deg,  Hum : 53.61714 pct  
Pressure : 1007.50293 hPa,  Temp : 36.58694 deg,  Hum : 53.68222 pct  
Pressure : 1007.50293 hPa,  Temp : 36.58694 deg,  Hum : 53.81855 pct  
Pressure : 1007.58467 hPa,  Temp : 36.60226 deg,  Hum : 53.64109 pct  
Pressure : 1007.37730 hPa,  Temp : 36.59715 deg,  Hum : 53.75359 pct  
Pressure : 1007.51122 hPa,  Temp : 36.59205 deg,  Hum : 53.85424 pct  
Pressure : 1007.56810 hPa,  Temp : 36.59205 deg,  Hum : 53.99649 pct  
Pressure : 1007.47449 hPa,  Temp : 36.58694 deg,  Hum : 53.36804 pct  
Pressure : 1007.64984 hPa,  Temp : 36.60737 deg,  Hum : 53.89017 pct  
Pressure : 1007.54794 hPa,  Temp : 36.59715 deg,  Hum : 54.07367 pct  
Pressure : 1007.52779 hPa,  Temp : 36.60226 deg,  Hum : 53.83670 pct  
Pressure : 1007.53608 hPa,  Temp : 36.60737 deg,  Hum : 53.64121 pct  
Pressure : 1007.50764 hPa,  Temp : 36.60737 deg,  Hum : 53.58193 pct  
Pressure : 1007.54436 hPa,  Temp : 36.61247 deg,  Hum : 53.85473 pct  
Pressure : 1007.49935 hPa,  Temp : 36.60226 deg,  Hum : 53.71815 pct  
Pressure : 1007.54436 hPa,  Temp : 36.61247 deg,  Hum : 53.85473 pct  
Pressure : 1007.50764 hPa,  Temp : 36.60737 deg,  Hum : 53.75384 pct  
Pressure : 1007.55265 hPa,  Temp : 36.61758 deg,  Hum : 53.71851 pct  
Pressure : 1007.48748 hPa,  Temp : 36.61247 deg,  Hum : 53.54648 pct  
Pressure : 1007.50764 hPa,  Temp : 36.60737 deg,  Hum : 53.74791 pct  
Pressure : 1007.48748 hPa,  Temp : 36.61247 deg,  Hum : 53.76581 pct  
Pressure : 1007.58109 hPa,  Temp : 36.61758 deg,  Hum : 53.06638 pct  
Pressure : 1007.51592 hPa,  Temp : 36.61247 deg,  Hum : 53.46941 pct  
Pressure : 1007.54436 hPa,  Temp : 36.61247 deg,  Hum : 53.70653 pct  
Pressure : 1007.51592 hPa,  Temp : 36.61247 deg,  Hum : 53.49905 pct  
Pressure : 1007.45904 hPa,  Temp : 36.61247 deg,  Hum : 53.65911 pct  
Pressure : 1007.52421 hPa,  Temp : 36.61758 deg,  Hum : 53.48138 pct  
Pressure : 1007.51592 hPa,  Temp : 36.61247 deg,  Hum : 53.81916 pct  
Pressure : 1007.53608 hPa,  Temp : 36.60737 deg,  Hum : 53.36851 pct  
Pressure : 1007.46262 hPa,  Temp : 36.59715 deg,  Hum : 53.48684 pct  
Pressure : 1007.49935 hPa,  Temp : 36.60226 deg,  Hum : 53.24390 pct  
Pressure : 1007.46733 hPa,  Temp : 36.61758 deg,  Hum : 53.44581 pct  
Pressure : 1007.49577 hPa,  Temp : 36.61758 deg,  Hum : 53.56438 pct  
Pressure : 1007.53608 hPa,  Temp : 36.60737 deg,  Hum : 53.38630 pct  
Pressure : 1007.54436 hPa,  Temp : 36.61247 deg,  Hum : 54.44744 pct  
Pressure : 1007.52421 hPa,  Temp : 36.61758 deg,  Hum : 53.05452 pct  
Pressure : 1007.43418 hPa,  Temp : 36.59715 deg,  Hum : 53.33271 pct  
Pressure : 1007.46262 hPa,  Temp : 36.59715 deg,  Hum : 53.20821 pct  
Pressure : 1007.50764 hPa,  Temp : 36.60737 deg,  Hum : 53.34480 pct  
Pressure : 1007.51592 hPa,  Temp : 36.61247 deg,  Hum : 53.25006 pct  
Pressure : 1007.55265 hPa,  Temp : 36.61758 deg,  Hum : 53.35689 pct  
Pressure : 1007.52779 hPa,  Temp : 36.60226 deg,  Hum : 53.35654 pct  
Pressure : 1007.53608 hPa,  Temp : 36.60737 deg,  Hum : 53.14322 pct  
Pressure : 1007.44247 hPa,  Temp : 36.60226 deg,  Hum : 54.53607 pct  
Pressure : 1007.55623 hPa,  Temp : 36.60226 deg,  Hum : 53.13718 pct  
Pressure : 1007.52779 hPa,  Temp : 36.60226 deg,  Hum : 53.43953 pct  
Pressure : 1007.50764 hPa,  Temp : 36.60737 deg,  Hum : 52.66889 pct  
Pressure : 1007.53608 hPa,  Temp : 36.60737 deg,  Hum : 52.81713 pct  
Pressure : 1007.51950 hPa,  Temp : 36.59715 deg,  Hum : 52.73389 pct  
Pressure : 1007.44605 hPa,  Temp : 36.58694 deg,  Hum : 52.62695 pct  
Pressure : 1007.50293 hPa,  Temp : 36.58694 deg,  Hum : 52.54986 pct  
Pressure : 1007.47449 hPa,  Temp : 36.58694 deg,  Hum : 52.34825 pct  
Pressure : 1007.49464 hPa,  Temp : 36.58184 deg,  Hum : 52.06943 pct  
Pressure : 1007.54681 hPa,  Temp : 36.56141 deg,  Hum : 51.99786 pct  
Pressure : 1007.51837 hPa,  Temp : 36.56141 deg,  Hum : 51.42258 pct  
Pressure : 1007.55510 hPa,  Temp : 36.56652 deg,  Hum : 51.16762 pct  
Pressure : 1007.53024 hPa,  Temp : 36.55120 deg,  Hum : 51.30377 pct  
Pressure : 1007.49351 hPa,  Temp : 36.54609 deg,  Hum : 50.14689 pct  
Pressure : 1007.52552 hPa,  Temp : 36.53078 deg,  Hum : 51.25001 pct  
Pressure : 1007.46036 hPa,  Temp : 36.52567 deg,  Hum : 50.76354 pct  
Pressure : 1007.52910 hPa,  Temp : 36.51546 deg,  Hum : 50.74557 pct  
Pressure : 1007.50424 hPa,  Temp : 36.50014 deg,  Hum : 50.15209 pct  
Pressure : 1007.55282 hPa,  Temp : 36.49503 deg,  Hum : 49.90283 pct  
Pressure : 1007.50781 hPa,  Temp : 36.48482 deg,  Hum : 50.13998 pct  
Pressure : 1007.51967 hPa,  Temp : 36.47461 deg,  Hum : 49.95591 pct  
Pressure : 1007.46280 hPa,  Temp : 36.47461 deg,  Hum : 50.04490 pct  
Pressure : 1007.56825 hPa,  Temp : 36.46950 deg,  Hum : 50.35329 pct  
Pressure : 1007.52324 hPa,  Temp : 36.45929 deg,  Hum : 50.08619 pct  
Pressure : 1007.55167 hPa,  Temp : 36.45929 deg,  Hum : 50.09212 pct  
Pressure : 1007.52681 hPa,  Temp : 36.44397 deg,  Hum : 49.96137 pct  
Pressure : 1007.58367 hPa,  Temp : 36.44397 deg,  Hum : 49.28503 pct  
Pressure : 1007.52209 hPa,  Temp : 36.42355 deg,  Hum : 49.67038 pct  
Pressure : 1007.50551 hPa,  Temp : 36.41334 deg,  Hum : 49.85412 pct  
Pressure : 1007.49722 hPa,  Temp : 36.40823 deg,  Hum : 49.30826 pct  
Pressure : 1007.50908 hPa,  Temp : 36.39802 deg,  Hum : 49.42084 pct  
Pressure : 1007.48065 hPa,  Temp : 36.39802 deg,  Hum : 49.27845 pct  
Pressure : 1007.46407 hPa,  Temp : 36.38781 deg,  Hum : 49.05879 pct  
Pressure : 1007.54107 hPa,  Temp : 36.38270 deg,  Hum : 49.13585 pct  
Pressure : 1007.46763 hPa,  Temp : 36.37249 deg,  Hum : 49.05858 pct  
Pressure : 1007.47949 hPa,  Temp : 36.36228 deg,  Hum : 48.76179 pct  
Pressure : 1007.54820 hPa,  Temp : 36.35207 deg,  Hum : 48.88032 pct  
Pressure : 1007.45462 hPa,  Temp : 36.34696 deg,  Hum : 48.91585 pct  
Pressure : 1007.52333 hPa,  Temp : 36.33675 deg,  Hum : 48.88012 pct  
Pressure : 1007.51504 hPa,  Temp : 36.33164 deg,  Hum : 48.72580 pct  
Pressure : 1007.49017 hPa,  Temp : 36.31633 deg,  Hum : 48.76713 pct  
Pressure : 1007.53045 hPa,  Temp : 36.30611 deg,  Hum : 48.54155 pct  
Pressure : 1007.47360 hPa,  Temp : 36.30611 deg,  Hum : 48.67801 pct  
Pressure : 1007.53045 hPa,  Temp : 36.30611 deg,  Hum : 48.49409 pct  
Pressure : 1007.54230 hPa,  Temp : 36.29590 deg,  Hum : 48.56516 pct  
Pressure : 1007.48900 hPa,  Temp : 36.28058 deg,  Hum : 48.05472 pct  
Pressure : 1007.53757 hPa,  Temp : 36.27548 deg,  Hum : 47.97753 pct  
Pressure : 1007.50085 hPa,  Temp : 36.27037 deg,  Hum : 47.82320 pct  
Pressure : 1007.49256 hPa,  Temp : 36.26527 deg,  Hum : 47.91808 pct  
Pressure : 1007.47598 hPa,  Temp : 36.25505 deg,  Hum : 47.88237 pct  
Pressure : 1007.52454 hPa,  Temp : 36.24995 deg,  Hum : 48.57051 pct  
Pressure : 1007.56126 hPa,  Temp : 36.25505 deg,  Hum : 48.23242 pct  
Pressure : 1007.49612 hPa,  Temp : 36.24995 deg,  Hum : 48.57644 pct  
Pressure : 1007.56126 hPa,  Temp : 36.25505 deg,  Hum : 49.31795 pct  
Pressure : 1007.50441 hPa,  Temp : 36.25505 deg,  Hum : 48.92056 pct  
Pressure : 1007.56955 hPa,  Temp : 36.26016 deg,  Hum : 49.42478 pct  
Pressure : 1007.56955 hPa,  Temp : 36.26016 deg,  Hum : 49.28837 pct  
Pressure : 1007.50441 hPa,  Temp : 36.25505 deg,  Hum : 48.80786 pct  
Pressure : 1007.51625 hPa,  Temp : 36.24484 deg,  Hum : 48.26790 pct  
Pressure : 1007.55297 hPa,  Temp : 36.24995 deg,  Hum : 48.18490 pct  
Pressure : 1007.53639 hPa,  Temp : 36.23974 deg,  Hum : 48.13138 pct  
Pressure : 1007.45940 hPa,  Temp : 36.24484 deg,  Hum : 47.59151 pct  
Pressure : 1007.51981 hPa,  Temp : 36.22952 deg,  Hum : 47.80495 pct  
Pressure : 1007.47480 hPa,  Temp : 36.21931 deg,  Hum : 47.87011 pct  
Pressure : 1007.53165 hPa,  Temp : 36.21931 deg,  Hum : 47.52004 pct  
Pressure : 1007.56836 hPa,  Temp : 36.22442 deg,  Hum : 47.87016 pct  
Pressure : 1007.47007 hPa,  Temp : 36.19889 deg,  Hum : 47.33589 pct  
Pressure : 1007.46178 hPa,  Temp : 36.19378 deg,  Hum : 47.01541 pct  
Pressure : 1007.51033 hPa,  Temp : 36.18868 deg,  Hum : 46.99163 pct  
Pressure : 1007.50204 hPa,  Temp : 36.18357 deg,  Hum : 47.37134 pct  
Pressure : 1007.52217 hPa,  Temp : 36.17847 deg,  Hum : 47.24669 pct  
Pressure : 1007.49730 hPa,  Temp : 36.16315 deg,  Hum : 47.11007 pct  
Pressure : 1007.55414 hPa,  Temp : 36.16315 deg,  Hum : 47.62032 pct  
Pressure : 1007.54585 hPa,  Temp : 36.15804 deg,  Hum : 47.14562 pct  
Pressure : 1007.55769 hPa,  Temp : 36.14783 deg,  Hum : 46.92005 pct  
Pressure : 1007.44756 hPa,  Temp : 36.13251 deg,  Hum : 47.13351 pct  
Pressure : 1007.48782 hPa,  Temp : 36.12230 deg,  Hum : 46.67061 pct  
Pressure : 1007.52453 hPa,  Temp : 36.12741 deg,  Hum : 46.47483 pct  
Pressure : 1007.49136 hPa,  Temp : 36.10698 deg,  Hum : 46.63488 pct  
Pressure : 1007.50320 hPa,  Temp : 36.09677 deg,  Hum : 46.60512 pct  
Pressure : 1007.52333 hPa,  Temp : 36.09166 deg,  Hum : 46.65848 pct  
Pressure : 1007.47833 hPa,  Temp : 36.08145 deg,  Hum : 46.51599 pct  
Pressure : 1007.47833 hPa,  Temp : 36.08145 deg,  Hum : 46.59906 pct  
Pressure : 1007.54699 hPa,  Temp : 36.07124 deg,  Hum : 46.61678 pct  
Pressure : 1007.45345 hPa,  Temp : 36.06613 deg,  Hum : 46.55740 pct  
Pressure : 1007.51029 hPa,  Temp : 36.06613 deg,  Hum : 47.24559 pct  
Pressure : 1007.55883 hPa,  Temp : 36.06103 deg,  Hum : 47.16843 pct  
Pressure : 1007.51383 hPa,  Temp : 36.05082 deg,  Hum : 47.00816 pct  
Pressure : 1007.47712 hPa,  Temp : 36.04571 deg,  Hum : 45.63749 pct  
Pressure : 1007.44041 hPa,  Temp : 36.04061 deg,  Hum : 46.92501 pct  
Pressure : 1007.55761 hPa,  Temp : 36.02529 deg,  Hum : 46.48587 pct  
Pressure : 1007.53274 hPa,  Temp : 36.00997 deg,  Hum : 46.62219 pct  
Pressure : 1007.48774 hPa,  Temp : 35.99976 deg,  Hum : 46.45600 pct  
Pressure : 1007.51969 hPa,  Temp : 35.98444 deg,  Hum : 46.33723 pct  
Pressure : 1007.53152 hPa,  Temp : 35.97423 deg,  Hum : 46.27189 pct  
Pressure : 1007.53152 hPa,  Temp : 35.97423 deg,  Hum : 46.21256 pct  
Pressure : 1007.52323 hPa,  Temp : 35.96912 deg,  Hum : 46.88878 pct  
Pressure : 1007.52676 hPa,  Temp : 35.95380 deg,  Hum : 46.99540 pct  
Pressure : 1007.52676 hPa,  Temp : 35.95380 deg,  Hum : 46.65731 pct  
Pressure : 1007.51018 hPa,  Temp : 35.94359 deg,  Hum : 46.70468 pct  
Pressure : 1007.51018 hPa,  Temp : 35.94359 deg,  Hum : 46.72247 pct  
Pressure : 1007.46518 hPa,  Temp : 35.93338 deg,  Hum : 47.02486 pct  
Pressure : 1007.48530 hPa,  Temp : 35.92827 deg,  Hum : 45.48249 pct  
Pressure : 1007.55041 hPa,  Temp : 35.93338 deg,  Hum : 47.39255 pct  
Pressure : 1007.55041 hPa,  Temp : 35.93338 deg,  Hum : 47.27988 pct  
Pressure : 1007.56224 hPa,  Temp : 35.92317 deg,  Hum : 47.03663 pct  
Pressure : 1007.49713 hPa,  Temp : 35.91806 deg,  Hum : 47.18484 pct  
Pressure : 1007.49713 hPa,  Temp : 35.91806 deg,  Hum : 47.16705 pct  
Pressure : 1007.48054 hPa,  Temp : 35.90785 deg,  Hum : 47.20846 pct  
Pressure : 1007.51724 hPa,  Temp : 35.91296 deg,  Hum : 47.22630 pct  
Pressure : 1007.52554 hPa,  Temp : 35.91806 deg,  Hum : 47.13740 pct  
Pressure : 1007.61429 hPa,  Temp : 35.90275 deg,  Hum : 47.47525 pct  
Pressure : 1007.54918 hPa,  Temp : 35.89764 deg,  Hum : 47.15499 pct  
Pressure : 1007.49236 hPa,  Temp : 35.89764 deg,  Hum : 47.42184 pct  
Pressure : 1007.51248 hPa,  Temp : 35.89253 deg,  Hum : 47.27947 pct  
Pressure : 1007.53260 hPa,  Temp : 35.88743 deg,  Hum : 47.24977 pct  
Pressure : 1007.50419 hPa,  Temp : 35.88743 deg,  Hum : 47.29721 pct  
Pressure : 1007.53260 hPa,  Temp : 35.88743 deg,  Hum : 47.27349 pct  
Pressure : 1007.55748 hPa,  Temp : 35.90275 deg,  Hum : 47.41596 pct  
Pressure : 1007.55271 hPa,  Temp : 35.88232 deg,  Hum : 47.32088 pct  
Pressure : 1007.55271 hPa,  Temp : 35.88232 deg,  Hum : 47.47504 pct  
Pressure : 1007.52430 hPa,  Temp : 35.88232 deg,  Hum : 47.40389 pct  
Pressure : 1007.51601 hPa,  Temp : 35.87722 deg,  Hum : 47.54614 pct  
Pressure : 1007.52430 hPa,  Temp : 35.88232 deg,  Hum : 47.67663 pct  
Pressure : 1007.46749 hPa,  Temp : 35.88232 deg,  Hum : 47.55805 pct  
Pressure : 1007.56101 hPa,  Temp : 35.88743 deg,  Hum : 47.78934 pct  
Pressure : 1007.50772 hPa,  Temp : 35.87211 deg,  Hum : 47.32077 pct  
Pressure : 1007.58112 hPa,  Temp : 35.88232 deg,  Hum : 47.23786 pct  
Pressure : 1007.57283 hPa,  Temp : 35.87722 deg,  Hum : 47.14294 pct  
Pressure : 1007.49942 hPa,  Temp : 35.86700 deg,  Hum : 47.17842 pct  
Pressure : 1007.52783 hPa,  Temp : 35.86700 deg,  Hum : 47.08354 pct  
Pressure : 1007.51954 hPa,  Temp : 35.86190 deg,  Hum : 47.15465 pct  
Pressure : 1007.56453 hPa,  Temp : 35.87211 deg,  Hum : 47.21997 pct  
Pressure : 1007.51125 hPa,  Temp : 35.85679 deg,  Hum : 47.45106 pct  
Pressure : 1007.54795 hPa,  Temp : 35.86190 deg,  Hum : 47.05384 pct  
Pressure : 1007.50295 hPa,  Temp : 35.85169 deg,  Hum : 46.94701 pct  
Pressure : 1007.51477 hPa,  Temp : 35.84147 deg,  Hum : 46.89948 pct  
Pressure : 1007.57159 hPa,  Temp : 35.84147 deg,  Hum : 46.99435 pct  
Pressure : 1007.52307 hPa,  Temp : 35.84658 deg,  Hum : 46.69790 pct  
Pressure : 1007.55500 hPa,  Temp : 35.83126 deg,  Hum : 47.22550 pct  
Pressure : 1007.46978 hPa,  Temp : 35.83126 deg,  Hum : 47.10692 pct  
